—имвол; ≥льк≥сть;„астота
 ;103318;0.160949013132273
о;61231;0.09538578972785194
а;45176;0.07037527456264701
е;42903;0.066834390042528
и;35789;0.05575218481765925
н;35097;0.054674185658872464
т;30590;0.04765317090648513
с;28102;0.04377735890206097
л;27261;0.04246724720763946
в;24794;0.03862414905051953
р;24545;0.0382362562896266
к;19315;0.030088950508622436
д;16380;0.025516800897294096
м;15921;0.02480176966335893
у;15443;0.02405714018662471
п;13838;0.021556867571230508
€;12469;0.019424236287445672
г;11168;0.017397535556836416
ь;10774;0.016783761469319085
ы;10223;0.015925412428146372
з;9592;0.014942439206767093
б;9302;0.014490676553518296
ч;7340;0.0114342685339523
й;6203;0.009663047372766501
ж;5456;0.008499369090087704
ш;5087;0.007924540058884925
х;4595;0.007158101350614553
ю;3494;0.005442961070521708
ц;2179;0.003394451108376303
э;1628;0.002536102067203589
щ;1511;0.0023538392036514884
ф;1206;0.001878709516613961
